id,title,torrent_url
33,"Ride a Wild Stud / ride on a wild stallion (Oliver Drake, Vega International) [1969, Drama | Western, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].7565.torrent
34,"La caliente niña Julietta / Hot girl Juliet (Ignacio F. Iquino, IFI Producción S.A.) [1981 g., Comedy, TVRip]",https://d.ptorrents.com/bt/[ptorrents.com].7566.torrent
35,"Nokaut / Knockout (Boro Draskovic, Bosna Film, Roberto Cinematografica) [1971, Drama, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].7567.torrent
36,"Insatiable Alicia and the MarquisEl marques, la menor y el travestí / insatiable Alicia and Marquis (Alfonso Balcázar, J.B. Films) [1983 g., Comedy, TVRip]",https://d.ptorrents.com/bt/[ptorrents.com].7924.torrent
37,"Dan Oniroku nawazeme. Rope Torture. / Torture ropes (Ikuo Sekimoto, Nikkatsu) [1984, Erotic. (?) | Pinku, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].8249.torrent
38,"Adventures of a Private Eye / Adventures of a private detective (Stanley A. Long, Salon Productions) [1977, Comedy | Crime, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].8488.torrent
39,"Cuentos eróticos.Erotic Stories. / Erotic stories. (Enrique Brasó, Jaime Chávarri, 7 more credits) [1980 g., Erotic, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].8776.torrent
40,"L'ultimo harem / Last Harem (Sergio Garrone, Amakar International Film, Barbara Seelk Filmproduktion, J.E. Films (Julian Esteban Films)) [1981, Drama | Romance, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9257.torrent
41,"The Girl from S.I.N. / The Girl from S.I.N. (C. Davis Smith, Bobmaral) [1966 g., Comedy, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9259.torrent
42,"School for Sex / sex School (Pete Walker, Pete Walker Film Productions) [1969 g., Comedy, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9260.torrent
43,"Volúpia ao Prazer / Lust pleasure (Rubens Eleutério, Haway Filmes) [1981, Softcore, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].9261.torrent
44,"Famous T & A / Famous T & A (Ken Dixon, Wizard Video) [1982, Documentary | Horror, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9262.torrent
45,"Si te dicen que caí / If They Tell You I Fell (Vicente Aranda, Ideas y Producciones Cinematográficas (IPC), Televisió de Catalunya (TV3)) [1989, Drama | Mystery | Romance | War, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9263.torrent
46,"Enrapture / Rapture (Chuck Vincent, Platinum Productions) [1989, Thriller, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].9264.torrent
47,"Adamo ed Eva, la prima storia d'amore / Adam and Eve: The First Love Story (Enzo Doria, Luigi Russo, Alex Film International, Arco Film) [1983, Adventure | Romance, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9265.torrent
